epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88884,2.9453,5.15652,2.68755,0.00333,1,0.00441,0.00172,2.34099,5.11804,2.85524,0.00012,0.00012,0.00012
2,3.74191,1.91181,2.65949,1.64274,0.2236,0.5,0.35171,0.23148,1.48898,5.18419,1.5591,0.000257426,0.000257426,0.000257426
3,5.67192,1.39596,2.73743,1.33042,0.00517,1,0.00607,0.0029,1.66217,824.211,1.64331,0.00039208,0.00039208,0.00039208
4,7.42767,1.58184,1.87161,1.38073,0.00303,0.66667,0.00251,0.00128,1.52083,inf,1.50203,0.000523962,0.000523962,0.000523962
5,9.08742,1.33715,1.74336,1.20044,0.97791,0.66667,0.74876,0.48329,1.59544,6.14587,1.96101,0.000653072,0.000653072,0.000653072
6,10.8501,1.35706,1.39456,1.37139,0.79041,0.63471,0.63407,0.30356,2.01422,3.12803,1.89728,0.00077941,0.00077941,0.00077941
7,12.499,1.35312,1.33544,1.17164,0.70125,0.78772,0.78666,0.4512,1.662,7.03292,1.7743,0.000902976,0.000902976,0.000902976
8,14.1745,1.32004,1.32556,1.22664,1,0.83333,0.83523,0.38715,1.65643,13.1462,1.80295,0.00102377,0.00102377,0.00102377
9,16.0749,1.40945,1.24423,1.37763,0.02259,0.16667,0.0054,0.00252,3.14991,24.9436,2.93678,0.00114179,0.00114179,0.00114179
10,17.8348,1.54631,1.52646,1.37618,0,0,0,0,5.69832,1346.75,106.237,0.00125704,0.00125704,0.00125704
11,19.6855,1.3768,1.32654,1.26803,0.01099,0.16667,0.00327,0.00236,2.75172,111.505,2.88977,0.00136952,0.00136952,0.00136952
12,21.4851,1.30021,1.03058,1.27654,0.00665,0.5,0.00498,0.00128,2.97939,202.103,2.74949,0.00147923,0.00147923,0.00147923
13,23.9888,1.31535,1.04678,1.2706,0.00261,0.16667,0.00294,0.00134,2.8325,328.061,2.35989,0.00158616,0.00158616,0.00158616
14,27.9038,1.31367,1.37599,1.24256,0.00261,0.16667,0.00294,0.00134,2.8325,328.061,2.35989,0.00169032,0.00169032,0.00169032
15,31.4151,1.36554,1.04665,1.22737,0.0081,0.66667,0.00601,0.00195,2.95516,205.784,2.73674,0.0017228,0.0017228,0.0017228
16,34.9218,1.33067,1.14399,1.21131,0.00179,0.16667,0.00057,0.00033,3.49093,111.705,3.78832,0.001703,0.001703,0.001703
17,38.524,1.24137,0.92553,1.22973,0.00111,0.33333,0.00079,8e-05,3.71994,87.4155,7.0361,0.0016832,0.0016832,0.0016832
18,42.0895,1.41217,0.95918,1.2201,0.00057,0.16667,0.00039,0.00015,3.8869,8.4746,7.32327,0.0016634,0.0016634,0.0016634
19,45.8091,1.47114,1.02221,1.24925,0.00132,0.33333,0.00089,0.00049,3.35416,23.6017,5.42828,0.0016436,0.0016436,0.0016436
20,49.1271,1.2869,0.98966,1.13587,0.00205,0.5,0.00236,0.00074,3.57498,9.78074,4.18882,0.0016238,0.0016238,0.0016238
21,52.4846,1.40168,1.08376,1.18266,0.00172,0.5,0.00268,0.00138,3.73645,7.64841,3.75458,0.001604,0.001604,0.001604
22,55.8697,1.11484,0.83129,1.1156,0.00172,0.5,0.00268,0.00138,3.73645,7.64841,3.75458,0.0015842,0.0015842,0.0015842
23,59.6954,1.26282,0.91507,1.26765,0.00841,0.16667,0.0043,0.00199,3.37323,8.53659,3.23876,0.0015644,0.0015644,0.0015644
24,63.0951,1.2244,0.90331,1.20349,0.0071,0.16667,0.00266,0.00049,4.17881,8.11011,3.95455,0.0015446,0.0015446,0.0015446
25,66.4882,1.14905,0.85332,1.12906,0.00111,0.33333,0.00076,0.00015,3.62509,8.31533,3.34552,0.0015248,0.0015248,0.0015248
26,70.0741,1.0666,0.75993,1.0456,0.00111,0.33333,0.00076,0.00023,3.71582,13.8958,4.52398,0.001505,0.001505,0.001505
27,73.9222,1.12675,0.71839,1.097,0.00067,0.16667,0.0007,7e-05,3.75683,7.03663,3.26424,0.0014852,0.0014852,0.0014852
28,77.8936,0.9985,0.69566,1.05345,0,0,0,0,3.57583,6.20703,3.40252,0.0014654,0.0014654,0.0014654
29,81.5067,1.10853,0.70782,1.085,0.00515,0.33333,0.0053,0.00131,3.1798,5.01223,2.58333,0.0014456,0.0014456,0.0014456
30,85.0052,1.23809,0.75163,1.17988,0.00515,0.33333,0.0053,0.00131,3.1798,5.01223,2.58333,0.0014258,0.0014258,0.0014258
31,88.491,1.19829,0.78873,1.22309,0.46259,0.33333,0.29002,0.17353,2.45919,3.32432,2.25517,0.001406,0.001406,0.001406
32,92.4933,1.23834,0.77184,1.17996,0.99317,0.66667,0.77489,0.43121,1.68985,1.95057,1.60932,0.0013862,0.0013862,0.0013862
33,96.2556,1.14394,0.77302,1.10208,0.96614,0.5,0.58158,0.38464,1.89343,1.83248,1.74175,0.0013664,0.0013664,0.0013664
34,99.4813,1.17565,0.73615,1.1513,0.98595,0.83333,0.84016,0.52149,1.48642,0.90254,1.49102,0.0013466,0.0013466,0.0013466
35,104.887,1.21309,0.77161,1.11058,0.98729,0.83333,0.84833,0.51599,1.4789,0.97327,1.51194,0.0013268,0.0013268,0.0013268
36,108.869,1.02562,0.66837,1.07736,0.89068,0.83333,0.85346,0.51698,1.63925,1.13295,1.66754,0.001307,0.001307,0.001307
37,112.557,1.10462,0.65295,1.08878,1,0.81082,0.83858,0.52418,1.59561,1.03538,1.63882,0.0012872,0.0012872,0.0012872
38,118.014,1.05941,0.66281,1.11029,1,0.81082,0.83858,0.52418,1.59561,1.03538,1.63882,0.0012674,0.0012674,0.0012674
39,123.124,1.11348,0.73255,1.11101,0.97601,0.83333,0.84051,0.54702,1.56542,1.13035,1.64399,0.0012476,0.0012476,0.0012476
40,125.707,1.05319,0.69578,1.0909,0.96722,0.83333,0.915,0.58657,1.49916,0.86755,1.54142,0.0012278,0.0012278,0.0012278
41,127.841,1.02535,0.64652,1.04928,0.89665,0.83333,0.899,0.59117,1.47973,0.86883,1.50866,0.001208,0.001208,0.001208
42,129.957,1.01789,0.67643,1.10451,0.93073,0.83333,0.955,0.64265,1.45771,0.84367,1.56198,0.0011882,0.0011882,0.0011882
43,131.836,1.14808,0.70253,1.1697,0.85498,0.98483,0.97214,0.64329,1.4341,0.82972,1.54858,0.0011684,0.0011684,0.0011684
44,133.748,1.07334,0.61049,1.07229,0.99766,0.83333,0.94167,0.65772,1.45878,0.86301,1.49884,0.0011486,0.0011486,0.0011486
45,135.663,1.01403,0.61698,1.07498,0.96876,0.83333,0.85274,0.59448,1.57084,0.73266,1.61586,0.0011288,0.0011288,0.0011288
46,137.373,0.99298,0.62339,1.05035,0.96876,0.83333,0.85274,0.59448,1.57084,0.73266,1.61586,0.001109,0.001109,0.001109
47,139.107,0.99481,0.62028,1.06749,0.97422,0.83333,0.84775,0.62035,1.55983,0.70224,1.70113,0.0010892,0.0010892,0.0010892
48,140.818,0.93558,0.60493,1.02212,0.981,0.83333,0.85069,0.6025,1.58011,0.78838,1.65676,0.0010694,0.0010694,0.0010694
49,142.579,1.01799,0.61985,1.0727,0.97974,0.83333,0.915,0.57295,1.46466,0.67605,1.46581,0.0010496,0.0010496,0.0010496
50,144.3,1.06559,0.60419,1.11482,0.9626,0.83333,0.915,0.5963,1.65912,0.72589,1.69411,0.0010298,0.0010298,0.0010298
51,146.096,1.01402,0.61148,1.01965,0.96611,0.83333,0.84368,0.60245,1.58174,0.83843,1.66526,0.00101,0.00101,0.00101
52,147.871,0.90571,0.56466,1.03678,0.97533,0.83333,0.84449,0.57544,1.53502,0.86469,1.44731,0.0009902,0.0009902,0.0009902
53,149.634,0.89127,0.58109,0.98359,0.98622,0.83333,0.85382,0.60248,1.60561,0.91697,1.46223,0.0009704,0.0009704,0.0009704
54,151.414,0.90625,0.56425,1.00604,0.98622,0.83333,0.85382,0.60248,1.60561,0.91697,1.46223,0.0009506,0.0009506,0.0009506
55,153.249,0.9851,0.60232,0.99678,0.98668,0.83333,0.88833,0.61712,1.4883,0.80581,1.42671,0.0009308,0.0009308,0.0009308
56,155.264,0.89637,0.54669,1.00387,0.98497,0.83333,0.87864,0.59754,1.44262,0.78232,1.4138,0.000911,0.000911,0.000911
57,157.146,0.89264,0.58559,1.04449,0.98996,0.83333,0.88553,0.56387,1.52183,0.76246,1.46245,0.0008912,0.0008912,0.0008912
58,159.088,0.95862,0.59125,1.04355,0.98979,0.83333,0.90357,0.62794,1.47642,0.75222,1.43537,0.0008714,0.0008714,0.0008714
59,160.964,0.85839,0.53287,1.01212,0.98622,0.83333,0.92227,0.62453,1.41012,0.72289,1.44203,0.0008516,0.0008516,0.0008516
